SiteCode,SiteName,Latitude,Longitude,IGBPCode
GH-Ank,Ankasa,5.26854275,-2.69420592,EBF
GL-Dsk,Disko,69.25349,-53.51413,SNO
GL-Kbf,Kobbefjord,64.1382,-51.3784,GRA
GL-NuF,Nuuk Fen,64.130933,-51.386068,WET
GL-ZaF,Zackenberg Fen,74.481522,-20.555773,WET
GL-ZaH,Zackenberg Heath,74.473299,-20.550869,GRA
GR-HeK,Heraklion Kornarou,35.33613,25.1328,URB
GR-HeM,Heraklion Mastabas,35.32343,25.13017,URB
GR-Prt,Pertouli,39.5434,21.4989,ENF
GR-Vcs,Vocals,40.889737,24.84893,GRA
HR-Jst,Jastrebarsko oak forest,45.6194,15.6877,DBF
HU-Bug,Bugac,46.69110107,19.60129929,GRA
HU-He1,Hegyhatsal,46.955947,16.652025,CRO
HU-He2,Hegyhatsal tower 2,46.95515,16.652661,GRA
HU-Mat,Matra,47.84690094,19.72599983,GRA
HU-Spr,Sopron,47.6558725,16.4544737,DBF
IE-Ca2,Carlow  grassland,52.86758,-6.91117,GRA
IE-CaC,Carlow Conventional Tillage,52.85879167,-6.918136111,CRO
IE-CaN,Carlow No Tillage,52.85879167,-6.918136111,CRO
IE-CLa,Co. Laois,52.95,-7.25,ENF
IE-Cra,Clara Raised Bog,53.323088,-7.641774,WET
IE-Dgm,Donoughmore,51.986179,-8.753931,DBF
IE-Doa,Dooary,52.948732,7.253945,DBF
IE-Dri,Dripsey,51.9866944,-8.75180556,GRA
IE-GtF,Gurteen Farm,53.040251,-8.001742,GRA
IE-Gwr,Gowran,52.6365,-7.011306,CRO
IE-JtC,Johnstown Castle,52.298188,-6499806,GRA
IE-Kil,Killorglin - Glencar,51.96836111,-9.900305556,WET
IE-LmW,Leam West,53.45647,-9.89284,WET
IL-Yat,Yatir,31.34504459,35.05198851,ENF
IN-CRR,Central Rice Research Institute (CRRI),20.45188333,85.94026667,CRO
IS-Gun,Gunnarsholt,63.83330154,-20.2166996,DBF
IT-Amp,Amplero,41.90409927,13.60515669,GRA
IT-BCi,Borgo Cioffi,40.52375,14.95744444,CRO
IT-Be1,Beano1,46.00361,13.02556,CRO
IT-Be2,Beano2,46.00431,13.02776,CRO
IT-BFt,Bosco Fontana,45.197755,10.741966,DBF
IT-Bon,Bonis,39.47777778,16.53472222,ENF
IT-BsB,Bussoleno Bosco,45.11835,7.16198,DBF
IT-Bsn,Bussoleno,45.119313,7.16049,GRA
IT-CA1,Castel d'Asso1,42.38041111,12.02656111,DBF
IT-CA2,Castel d'Asso2,42.37721944,12.02603889,CRO
IT-CA3,Castel d'Asso 3,42.38,12.0222,DBF
IT-Cas,Castellaro,45.07004722,8.717522222,CRO
IT-CdD,Casalina di Deruta,42.950231,12.381827,CRO
IT-Cng,Cantaglia,44.71,11.53,CRO
IT-Col,Collelongo,41.84936,13.58814,DBF
IT-Cp2,Castelporziano2,41.70426559,12.35729313,EBF
IT-Cpz,Castelporziano,41.7052493,12.3761058,EBF
IT-Ctv,Castelvetrano,37.64416,12.84638,CRO
IT-Gln,Giugliano,40.94711666,14.11708888,URB
IT-Isp,Ispra ABC-IS,45.812643,8.633579,DBF
IT-La2,Lavarone2,45.9542,11.2853,ENF
IT-Lav,Lavarone,45.9562,11.28132,ENF
IT-Lec,Lecceto,43.30359,11.26975,EBF
IT-LMa,La Mandria,45.15258,7.58259,DBF
IT-Lsn,Lison,45.740481,12.750297,OSH
IT-Mal,Malga Arpaco,46.11402,11.70334,GRA
IT-MBo,Monte Bondone,46.014678,11.045831,GRA
IT-MPn,Monte Pino,41.1073,14.7416,CRO
IT-Mrs,Marsciano,42.927225,12.3651,CRO
IT-MsN,Masseria Nola,39.71472,16.27806,DBF
IT-MtM,Muntatschinig Meadow,46.687021,10.579757,GRA
IT-MtP,Muntatschinig Pasture,46.684285,10.585237,GRA
IT-Neg,Negrisia - Ponte di Piave,45.74756389,12.44673056,CRO
IT-Niv,Nivolet,45.49091,7.13943,GRA
IT-Noe,Arca di Noe - Le Prigionette,40.606176,8.151694,CSH
IT-Non,Nonantola,44.69019,11.09109,MF
IT-OVr,Osservatorio Valerio,43.912014,12.904041,URB
IT-OXm,Osservatorio Ximeniano,43.774465,11.255111,URB
IT-PCm,Parco Urbano di Capodimonte,40.8741,14.2504,EBF
IT-Pia,Pianosa,42.5838694,10.0784,OSH
IT-PT1,Parco Ticino forest,45.20087222,9.061038889,DBF
IT-Ren,Renon,46.58686,11.43369,ENF
IT-Ro1,Roccarespampani 1,42.40812,11.93001,DBF
IT-Ro2,Roccarespampani 2,42.39026,11.92093,DBF
IT-Ro3,Roccarespampani3,42.37539,11.91542,CRO
IT-Ro4,Roccarespampani4,42.37333,11.91922,CRO
IT-Rut,Rutigliano,40.993753,17.03274,CRO
IT-Sas,Sassari,40.716957,8.575956,URB
IT-SMc,San Marcellino,40.84725555,14.25781666,URB
IT-SPC,San Pietro Capofiume,44.653869,11.62277,GRA
IT-SR2,San Rossore 2,43.732022,10.29091,ENF
IT-SRo,San Rossore,43.72786111,10.28444444,ENF
IT-Ter,Terranova,40.70377778,9.398166667,MF
IT-To1,Tolfa wet,42.18967363,11.92155414,EBF
IT-To2,Tolfa dry,42.18967363,11.92155414,EBF
IT-Tol,Tolfa,42.18967,11.92155,EBF
IT-Tor,Torgnon,45.84444,7.578055,GRA
IT-TrF,Torgnon-LD,45.82376,7.56089,DNF
IT-VdA,Valle dell'Adige,46.19678,11.11354,CRO
IT-Vig,Vigevano,45.29591,8.87554,DBF
ML-AgG,Agoufou G,15.34322,-1.48067,GRA
ML-AgS,Agoufou S,15.49961667,1.390083333,
ML-Bam,Bamba,17.09838,1.4011655,
ML-Kem,Kelma,15.2237,-1.5662,DBF
NE-WaD,Wankama Degraded Fallow,13.6463167,2.64301667,CRO
NE-WaF,Wankama Fallow,13.64758138,2.63368891,CRO
NE-WaM,Wankama Millet,13.644017,2.62984816,CRO
NL-Amd,Amsterdam,52.3665,4.8929,URB
NL-Ca1,Cabauw,51.971,4.927,GRA
NL-Dij,Dijkgraaf,51.99206111,5.645944444,CRO
NL-Haa,Haastrecht,52.0036111,4.80555556,GRA
NL-Hor,Horstermeer,52.24035,5.071301,GRA
NL-Lan,Langerak,51.95360184,4.902900219,CRO
NL-Lel,Lelystad,52.52423818,5.551615935,GRA
NL-Loo,Loobos,52.16644722,5.74355,ENF
NL-Lut,Lutjewad,53.39892222,6.356027778,CRO
NL-Mol,Molenweg,51.65,4.63908333,CRO
NL-Re1,Reeuwijk 1,51.9,4.5,GRA
NL-Re2,Reeuwijk 2,51.9,4.5,GRA
NL-Vre,Vredepeel,51.53166667,5.844111111,CRO
NL-Waa,Oostwaard,52.83159444,4.909122222,CRO
NL-Wgn,Wageningen,51.981,5.619,GRA
NL-Zee,Zeewolde,52.33480278,5.372588889,CRO
NO-And,Andøya,69.14278,16.02222,WET
NO-Fns,Finse,60.594,7.527,OSH
NO-Hur,Hurdal,60.37163292,11.07948988,
PA-SPn,Sardinilla Plantation,9.318139833,-79.6346,DBF
PA-SPs,Sardinilla-Pasture,9.313779833,-79.63142983,GRA
PH-RIf,Philippines Rice Institute flooded,14.14119,121.26526,CRO
PH-RIn,Philippines Rice Institute not-flooded,14.14503,121.26094,CRO
PL-Ans,Annoslaw,51.750319,20.41762,CRO
PL-Bdg,Bydgoszcz,53,17.96,GRA
PL-Brd,Brody,52.434181,16.299523,CRO
PL-Kpt,Kopytkowo,53.591854,22.892385,WET
PL-Krk,Krakow,50.067021,19.912977,URB
PL-Lz1,Lodz1,51.762514,19.445326,URB
PL-Lz2,Lodz2,51.773307,19.480993,URB
PL-Lz3,Lodz3,51.800143,19.411944,URB
PL-Pol,Polana,48.63333333,19.53333333,
PL-Tcz,Tuczno,53.19295,16.09748333,ENF
PL-wet,Rzecin (PolWet),52.7623,16.3095,WET
PL-Wlw,Wieclawice,52.84,18.31,CRO
PT-Cor,Coruche,39.13841389,-8.33268889,EBF
PT-Esp,Espirra,38.63940048,-8.601799965,EBF
PT-Mi1,Mitra II (Evora),38.54063889,-8.000055556,EBF
PT-Mi2,Mitra IV (Tojal),38.47650146,-8.024550438,GRA
RU-Ch2,Cherski reference,68.61689,161.35089,WET
RU-Che,Cherski,68.61304,161.34143,WET
RU-Cok,Chokurdakh,70.82913889,147.4942778,OSH
RU-Fy2,Fyodorovskoye dry spruce stand,56.447603,32.901878,ENF
RU-Fy3,Fyodorovskoye Clear-cut,56.4435,33.0478,ENF
RU-Fy4,Fyodorovskoye bog,56.4727,33.0413,WET
RU-Fyo,Fyodorovskoye,56.4615278,32.9220833,ENF
RU-Ha1,Hakasia steppe,54.72517,90.00215,GRA
RU-Ha2,Hakasia 5yr,54.77301,89.95664,GRA
RU-Ha3,Hakasia 10 yr,54.70455,90.07785,GRA
RU-Krg,Kurungnakh,72.298333,126.173333,WAT
RU-KsC,Kaskara Crop,57.25146,65.96931,CRO
RU-KsG,Kaskara Grass,57.2528,65.99321,GRA
RU-Ndm,Nadym,65.185,72.525,GRA
RU-Sam,Samoylov,72.3738,126.4958,GRA
RU-SkP,Yakutsk Spasskaya Pad larch,62.255,129.168,DNF
RU-Tks,Tiksi,71.594267,128.887817,GRA
RU-UPo,Ust Pojeg,61.93412778,50.22690278,ENF
RU-Uts,Uteshevo,57.154907,65.343002,GRA
RU-Vrk,Seida/Vorkuta,67.05467987,62.94046783,CSH
RU-Ypn,Yakutsk Pine,62.2414,129.6506,DNF
